Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age	
"0,""T is Sunday, M Kuliah, F Komputer, PF Komputer…"",""Agar DNS Tidak Berubah di Ubuntu"",2010,""Universitas"","""","""","""",53,""2019-11-11"",""CITATION"","""","""","""",,,,,0,0.00,0,5,9"	
"0,""A Arisal, T Wirahman, N Nuryani…"",""Rekayasa Keamanan pada Kompilator Online untuk Pemrograman Paralel"",2010,""INKOM …"",""jurnal.informatika.lipi.go.id"",""http://jurnal.informatika.lipi.go.id/index.php/inkom/article/view/42"","""",54,""2019-11-11"","""","""","""","""",,,,,0,0.00,0,4,9"	
"0,""DY Nusa"",""Perangkat lunak bantu administrasi kepegawaian dengan pendekatan objek: studi kasus pada UPTD Pendidikan Kecamatan Curugkembar"",2010,"""",""digilib.uinsgd.ac.id"",""http://digilib.uinsgd.ac.id/1869/3/3_bab1.pdf"","""",55,""2019-11-11"",""PDF"","""","""","""",,,,,0,0.00,0,1,9"	
"0,""M Muhlasin"",""PIRANTI LUNAK AKSARA JAWA SEBAGAI SARANA ALTERNATIF PEMBELAJARAN BAHASA JAWA DAN PELESTARIAN BUDAYA JAWA"",2010,"""",""eprints.undip.ac.id"",""http://eprints.undip.ac.id/36868/1/4.pdf"","""",56,""2019-11-11"",""PDF"","""","""","""",,,,,0,0.00,0,1,9"	
"0,""H Heryanto, I Komputer"",""PERANGKAT LUNAK PENGENDALI LAMPU LALU LINTAS (TRAFFIC LIGHT) DAN PENGGUNAAN KAMERA CCTV (CLOSE CIRCUIT TELEVISION) SEBAGAI …"",,""eprints.dinus.ac.id"","""",""http://eprints.dinus.ac.id/12025/1/jurnal_11852.pdf"","""",57,""2019-11-11"",""PDF"","""","""","""",,,,,0,0.00,0,2,"	
"0,""SA Lestari"",""Perancangan Perangkat Lunak Data Pelanggan di PT Citacontrac Lubuk Pakam"",,"""","""","""","""",58,""2019-11-11"",""CITATION"","""","""","""",,,,,0,0.00,0,1,"	
"0,""E Kartikadarma, I Rizqa"",""Perangkat Lunak Bantu Simulasi Pembelajaran Ikatan Kimia untuk Siswa Kelas X"",2010,""Prosiding SNST …"",""publikasiilmiah.unwahas.ac.id"",""https://publikasiilmiah.unwahas.ac.id/index.php/PROSIDING_SNST_FT/article/view/176"","""",59,""2019-11-11"","""","""","""","""",,,,,0,0.00,0,2,9"	
"1,""T Daryanto, PT Pratomo, FIKUM Buana"",""Perancangan Dan Pembuatan Aplikasi Traffic Light Control System Berdasarkan Waktu Kantor (Studi Kasus Perempatan Tomang)"",2010,"""",""digilib.mercubuana.ac.id"",""http://digilib.mercubuana.ac.id/manager/t!@file_artikel_abstrak/Isi_Artikel_168660969853.pdf"",""https://scholar.google.com/scholar?cites=12609154567345159733&as_sdt=2005&sciodt=0,5&hl=en"",60,""2019-11-11"",""PDF"","""","""","""",,,,,1,0.11,0,3,9"	
"2,""R Trianto, NND Merdekawati, RPS Nugraha, DNY Astiti…"",""Klasifikasi Huruf Katakana dengan Metode Template Matching Correlation"",2010,"""",""yudistira.lecture.ub.ac.id"",""http://yudistira.lecture.ub.ac.id/files/2014/04/KLASIFIKASI-HURUF-KATAKANA-DENGAN-METODE-TEMPLATE-MATCHING-CORRELATION.pdf"",""https://scholar.google.com/scholar?cites=15960154356076016600&as_sdt=2005&sciodt=0,5&hl=en"",61,""2019-11-11"",""PDF"","""","""","""",,,,,2,0.22,0,5,9"	
"8,""R Roecksintain"",""Sistem Pendukung Keputusan Penerimaan Siswa Baru SMU Negeri 1 Cikampek"",2010,""Universitas Komputer Indonesia (UNIKOM)"",""elib.unikom.ac.id"",""https://elib.unikom.ac.id/files/disk1/439/jbptunikompp-gdl-rivalroeck-21939-17-unikom_r-a.pdf"",""https://scholar.google.com/scholar?cites=356770570006589754&as_sdt=2005&sciodt=0,5&hl=en"",62,""2019-11-11"",""PDF"","""","""","""",,,,,8,0.89,8,1,9"	
"0,""A Nugroho"",""Rekayasa Perangkat Lunak Berorientasi Objek dan USDP"",2010,"""",""ANDI"","""","""",63,""2019-11-11"",""CITATION"","""","""","""",,,,,0,0.00,0,1,9"	
"3,""R Nurasmi"",""Implementasi Case Base Reasoning Pada Sistem Pendukung Keputusan Kesehatan Untuk Penanganan Dini Pada Kecelakaan Dengan Metode Herbal Studi Kasus …"",2010,""Jurnal Informatika Ahmad Dahlan"",""neliti.com"",""https://www.neliti.com/publications/102338/implementasi-case-base-reasoning-pada-sistem-pendukung-keputusan-kesehatan-untuk"",""https://scholar.google.com/scholar?cites=6423439130289543109&as_sdt=2005&sciodt=0,5&hl=en"",64,""2019-11-11"","""","""","""","""",,,,,3,0.33,3,1,9"	
"1,""I Syarifah, I Komputer"",""Pembangunan Sistem Pembelian Dan Penjualan Barang Di PD. Dian Jaya"",2010,"""",""elib.unikom.ac.id"",""http://elib.unikom.ac.id/download.php?id=79917"",""https://scholar.google.com/scholar?cites=1146236896469786352&as_sdt=2005&sciodt=0,5&hl=en"",65,""2019-11-11"",""PDF"","""","""","""",,,,,1,0.11,1,2,9"	
"0,""BAS Karnowijaya"",""Perangkat lunak bantu pengolahan data penjualan barang berbasis client server integrasi barcode reader dengan pendekatan objek: studi kasus surya jaya ban Kota …"",2010,"""",""digilib.uinsgd.ac.id"",""http://digilib.uinsgd.ac.id/1868/"","""",66,""2019-11-11"","""","""","""","""",,,,,0,0.00,0,1,9"	
"0,""F Insani"",""PERANCANGAN DAN IMPLEMENTASI PERANGKAT LUNAK UNTUK PENGELOMPOKKAN DAERAH PRODUKSI MINYAK BUMI DENGAN METODE KOHONEN"",2010,"""",""repository.uin-suska.ac.id"",""http://repository.uin-suska.ac.id/10875/"","""",67,""2019-11-11"","""","""","""","""",,,,,0,0.00,0,1,9"	
"1,""T Sagirani"",""Perancangan Dan Pembuatan Prototipe Aplikasi Pencarian Materi Berbasis Multimedia Studi Kasus Di Bpmtv Surabaya"",2010,"""",""core.ac.uk"",""https://core.ac.uk/download/pdf/35358013.pdf"",""https://scholar.google.com/scholar?cites=10453418740354501208&as_sdt=2005&sciodt=0,5&hl=en"",68,""2019-11-11"",""PDF"","""","""","""",,,,,1,0.11,1,1,9"	
"17,""Y Maryono, S Suyoto, P Mudjihartono"",""Analisis Dan Perancangan Sistem Informasi Manajemen Aset TIK Studi Kasus: Asmi Santa Maria Yogyakarta"",2010,""Jurnal Buana Informatika"",""ojs.uajy.ac.id"",""http://ojs.uajy.ac.id/index.php/jbi/article/view/298"",""https://scholar.google.com/scholar?cites=5909215387801552176&as_sdt=2005&sciodt=0,5&hl=en"",69,""2019-11-11"","""","""","""","""",,,,,17,1.89,6,3,9"	
"0,""I SETIAWAN"",""PERANGKAT LUNAK PENGHITUNGAN BONUS BERBASIS POHON N-ARY PADA INDUSTRI MLM"",,"""","""","""","""",70,""2019-11-11"",""CITATION"","""","""","""",,,,,0,0.00,0,1,"	
"0,""F Wijayanto"",""Perancangan Algoritma Kemunculan Pelanggan Jamu Gendong (Studi Kasus: Pada Game Simulasi Peracikan Jamu Tradisional Jawa)"",2010,""Jurnal Fakultas Hukum UII"",""neliti.com"",""https://www.neliti.com/publications/88402/perancangan-algoritma-kemunculan-pelanggan-jamu-gendong-studi-kasus-pada-game-si"","""",71,""2019-11-11"","""","""","""","""",,,,,0,0.00,0,1,9"	
"15,""SWS Wijaya, A Mulyanto, M Mustakim"",""Sistem Informasi Penerimaan Mahasiswa Baru Berbasis WEB dan WAP"",2010,""Seminar Nasional VI …"",""academia.edu"",""http://www.academia.edu/download/52394063/47.pdf"",""https://scholar.google.com/scholar?cites=14760061719667088964&as_sdt=2005&sciodt=0,5&hl=en"",72,""2019-11-11"",""PDF"","""","""","""",,,,,15,1.67,5,3,9"	
"1,""N Charibaldi"",""Aplikasi Scheduler Dan Reminder Berbasis Web Untuk Kelompok Profesional (Studi Kasus Di PT. Sarana Permata Container Semarang)"",2010,""Telematika"",""jurnal.upnyk.ac.id"",""http://www.jurnal.upnyk.ac.id/index.php/telematika/article/view/1414"",""https://scholar.google.com/scholar?cites=12454311970760172893&as_sdt=2005&sciodt=0,5&hl=en"",73,""2019-11-11"","""","""","""","""",,,,,1,0.11,1,1,9"	
